#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 278820:5199 | 08/14/16 11:00:52 | 1524 | 1524 | 0.300457015    | 0.287580218   |
| 278822:5199 | 08/14/16 21:52:48 | 1627 | 1627 | 0.195829704    | 0.189724216   |
| 278873:5205 | 08/15/16 23:25:46 | 67   | 60   | 0.012468667    | 0.002012171   |
| 278874:5205 | 08/15/16 23:51:54 | 484  | 484  | 0.088533995    | 0.082142606   |
| 278875:5205 | 08/16/16 03:01:21 | 834  | 834  | 0.120598273    | 0.115092509   |
| 278923:5206 | 08/16/16 12:16:33 | 413  | 413  | 0.103255455    | 0.098881487   |
| 278957:5209 | 08/16/16 21:31:37 | 149  | 149  | 0.037843042    | 0.036288211   |
| 278962:5210 | 08/17/16 01:08:32 | 351  | 348  | 0.084503920    | 0.076386870   |
| 278963:5210 | 08/17/16 03:24:58 | 174  | 174  | 0.038698940    | 0.037207039   |
| 278969:5211 | 08/17/16 07:16:53 | 1394 | 1394 | 0.298132154    | 0.284195463   |
| 278975:5211 | 08/17/16 16:23:17 | 857  | 854  | 0.126810893    | 0.119935614   |
| 278976:5211 | 08/17/16 21:58:17 | 20   | 20   | 0.002645822    | 0.002550279   |
| 278986:5213 | 08/18/16 04:03:00 | 129  | 129  | 0.033702921    | 0.031606691   |
| 279024:5219 | 08/18/16 22:31:54 | 301  | 301  | 0.052338496    | 0.049722297   |
| 279029:5219 | 08/19/16 02:19:42 | 260  | 260  | 0.039991591    | 0.038016732   |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 0.023618440    | 0.022701025   |
| 279080:5223 | 08/19/16 22:42:51 | 157  | 157  | 0.013094261    | 0.012624985   |
| 279115:5229 | 08/20/16 22:08:10 | 407  | 407  | 0.087971980    | 0.084666662   |
| 279116:5229 | 08/21/16 01:36:04 | 448  | 448  | 0.094868043    | 0.091044986   |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 0.006484906    | 0.006139569   |
| 279588:5251 | 08/25/16 21:08:12 | 1160 | 1160 | 0.237990796    | 0.229610033   |
| 279653:5253 | 08/26/16 14:05:53 | 188  | 188  | 0.046963420    | 0.043557304   |
| 279654:5253 | 08/26/16 15:21:58 | 1253 | 1245 | 0.250465021    | 0.241173745   |
| 279656:5253 | 08/26/16 23:49:41 | 49   | 49   | 0.007648567    | 0.005674488   |
| 279658:5253 | 08/27/16 01:35:20 | 713  | 713  | 0.095785218    | 0.093009565   |
| 279667:5254 | 08/27/16 09:08:24 | 966  | 966  | 0.216621211    | 0.209474853   |
| 279681:5256 | 08/27/16 21:57:03 | 35   | 28   | 0.008292798    | 0.006676737   |
