run,event,pt_visA,phi_visA,eta_visA,pt_visB,phi_visB,eta_visB,pt_MET,phi_MET,mT2,mll
278822,1761562244,71.164,2.0293,-1.64697,26.4534,-1.07373,-1.39746,48.2057,0.964478,0.670439,87.4365
278822,1764678545,41.406,-2.41064,-1.09473,31.7232,-0.411621,0.585693,31.9904,1.38013,34.1973,91.5772
278874,187885743,41.0183,-0.275635,1.76758,32.527,2.52441,0.422974,42.001,-1.82446,22.6091,89.3359
278874,189617594,38.3336,-0.846558,0.653564,35.5994,1.73926,1.21313,92.6242,-0.854248,0.496265,74.0702
278874,239889505,93.2604,2.50391,1.61621,31.684,-2.44385,0.748657,29.5084,-0.07547,46.9904,83.0579
278875,171326675,83.764,0.149872,1.39966,23.3623,2.86572,2.05908,38.9546,-3.13574,7.96763,91.436
278875,310160299,25.037,1.25146,1.875,21.7454,-1.21729,-0.81958,34.2091,-1.72998,11.4854,94.5815
278875,316044332,48.0242,-1.93018,-1.02319,42.1074,1.0415,-0.8125,29.7137,-2.78809,12.6077,90.1141
278875,194741526,38.8045,-1.05884,-0.283997,29.2453,2.01416,-1.5957,43.1561,-2.88379,9.8482,82.36
278875,217942860,47.9512,1.10596,-0.672241,44.0273,-1.92578,-1.2229,43.3206,3.12842,14.1955,95.2665
278875,1037861297,55.8002,-0.450073,-0.400513,35.659,2.94385,-0.802002,55.1872,2.3252,16.9053,90.3225
278923,186395915,39.5036,-0.973755,-0.59082,32.0849,2.47607,0.862183,23.8218,-2.95264,0.190033,90.1749
278923,197962622,50.7362,-2.20703,-1.88184,47.1838,1.65845,-2.11035,31.8444,1.93042,0.143861,92.199
278923,485813062,67.1602,-0.125641,-0.25293,33.1971,-0.171814,-0.283386,37.4202,0.135773,8.29775,2.61164
278923,551491580,112.397,0.930176,-0.877197,99.2651,1.7478,-0.488892,68.145,-0.98291,104.281,93.5726
278923,612029182,43.5927,2.15332,-0.342896,42.0021,0.366089,1.05249,32.2443,2.42432,9.4706,92.9023
278923,619718522,73.5162,-2.33057,0.655151,30.3789,-0.130737,1.33423,39.3964,-2.95996,23.6727,90.3592
278923,623556881,67.0679,-0.59082,1.0769,32.8895,2.89209,1.20044,54.8028,-3.06299,0.213317,92.7498
278923,672579252,52.3908,2.3252,1.15869,32.2213,-0.595703,0.487305,53.8701,0.635498,0.308542,86.3739
278923,692478884,40.3632,-1.12061,0.197144,36.4123,1.35767,-1.18237,27.2163,-0.244415,0.152854,92.3321
278923,698973773,32.2597,-1.72607,-2.35352,21.0911,1.26807,-0.153748,31.1033,0.560791,0.307031,86.9514
278957,285001558,79.2855,-2.41504,-0.980225,23.4431,0.16568,-0.373474,31.4788,0.874634,16.201,87.0102
278962,88313069,46.8214,1.98682,1.44653,45.3471,-0.948608,1.90161,55.1985,1.854,0.180073,94.0759
278962,91930198,70.2023,2.99951,1.16211,66.2553,0.498901,0.0781555,33.0487,-0.145752,22.8828,150.931
278962,93160511,61.356,0.971558,-0.914062,31.4673,-2.41113,-1.10034,49.484,0.587158,12.1484,87.6261
278962,99809556,44.0699,0.601929,1.37305,27.7583,-2.40234,-0.164429,56.3511,0.532471,0.179961,91.5331
278962,179382618,132.741,0.658813,2.19336,20.7587,1.5105,0.906494,87.166,-2.51172,71.7356,84.3183
278962,251601200,40.0903,-2.77441,1.3689,38.4203,0.340881,0.228485,28.5132,2.65186,4.71452,91.5969
278962,444023206,37.026,-3.11621,0.951782,34.5806,0.682861,2.21436,50.7147,-0.180756,25.1364,83.1547
279024,269293745,32.8258,-1.06445,-0.977661,31.4748,2.16455,0.79187,31.2859,0.051445,8.79311,91.0901
279024,333652891,56.3494,-1.15112,-1.87695,35.7573,1.54004,-1.38037,35.5352,0.429138,0.191208,90.3594
279071,106031758,76.4061,-0.918823,1.15332,22.5086,3.08447,-0.00769424,38.6491,-1.56982,0.162548,90.9388
279479,40270379,34.8994,-2.7998,-1.24585,30.1537,-0.13269,0.61145,29.2878,1.54175,21.0149,93.6921
279588,495742882,48.3072,2.6416,1.62378,43.1982,-0.531738,1.78687,32.8068,-1.12915,0.404893,91.6551
279588,522580349,249.909,1.44409,-0.398987,34.0607,0.338135,-0.516235,51.0301,0.506104,0.161996,97.5179
279588,1097138198,84.2708,3.07227,-0.323303,40.2183,1.26562,-0.36084,29.1525,1.7146,0.138884,91.4719
279588,1397947267,42.1116,-2.65381,2.20215,34.5607,1.42432,0.792603,54.9685,-1.28564,39.3155,89.6602
279588,1438986885,52.5717,-1.76709,0.561768,35.4749,1.21558,-0.130737,20.4306,0.845215,0.177436,91.3432
279653,166780170,46.697,1.10352,-1.21533,30.3209,-2.00684,0.106979,25.9226,2.58887,5.49876,92.3055
279654,1256602482,57.3942,1.16113,2.39746,30.861,-1.58472,-2.04297,29.9753,1.55298,11.0432,391.805
279654,1655999196,73.6003,1.56958,1.89795,71.2647,-1.46729,-0.477783,42.4304,-0.909668,0.223735,259.522
279654,1666468802,47.8504,-0.106735,-1.71484,41.5747,-3.11084,-1.18188,23.3303,1.4397,11.9267,92.1872
279667,181603982,37.6429,2.57959,-1.32397,37.3877,-0.585449,-0.0881653,20.271,-3.01562,0.418131,89.811
279667,185298054,48.9342,-1.7981,0.694214,40.3034,1.35376,0.169189,55.4371,2.32959,1.06177,91.8961
279667,185469090,37.1777,1.77832,2.0249,23.6385,2.31006,-0.391968,25.6858,0.164703,30.6471,91.7371
279667,835191644,50.5283,-2.28955,1.09766,46.6312,1.21973,1.21826,28.9612,2.17529,0.172671,95.6249
279667,1166204819,47.9627,-1.70703,0.283203,30.8968,0.47583,1.65063,26.6898,-1.64258,0.132809,88.8663
279667,1471416448,46.9336,-0.831177,0.854004,38.0217,2.41162,0.0326233,23.5023,2.87109,0.216828,91.6127
279685,135201043,31.5492,2.49756,0.248291,21.635,-0.619629,-2.00781,32.3268,2.66602,1.81835,89.1734
279715,607537912,45.6401,-2.18164,-1.73926,35.6446,0.0558929,-0.478638,22.2059,-1.12573,0.137315,90.6206
279715,617467045,43.1231,1.54688,0.0597382,31.4226,-1.64575,-1.1377,34.8452,-3.0459,0.494929,87.1957
279715,697657038,31.7183,-0.170197,-2.18018,24.4873,0.0728455,-2.15527,66.4921,2.29688,55.4297,6.79229
279716,101089253,65.7586,-0.0259171,-1.90259,27.6434,2.88428,-1.55298,21.7419,1.44458,0.221232,86.0159
279716,184712824,49.3173,0.885498,-1.76538,20.0643,-1.16699,0.225433,37.0435,0.172455,0.162274,91.0865
279716,190494805,45.0653,0.910767,0.0369034,37.7119,-2.13818,-0.553101,34.1457,-0.860718,0.342011,85.979
279716,201413125,32.744,-2.96973,-0.494812,31.5923,0.210022,-2.13574,40.2553,2.49219,0.530962,87.2104
279716,707314876,47.6803,2.80811,2.0874,25.741,-0.717529,0.525635,34.6625,0.621948,20.1948,91.5661
279716,2404679405,45.4699,0.534912,0.159149,36.4818,-2.3208,-0.843994,54.3073,1,14.5463,91.1848
279716,2710108925,48.9295,-1.67505,-0.633057,40.3142,1.34668,-0.395447,45.3029,-2.37842,12.0465,89.2962
279716,2831094827,43.4652,3.04932,-1.08862,41.2653,-0.100189,-0.168976,24.7754,-0.557129,0.590807,93.8148
279760,300632697,37.7268,2.28369,1.01587,35.7526,-0.754395,2.23096,42.4412,1.85474,0.268863,87.3485
279760,310957494,252.466,-0.685547,-0.73645,103.85,2.62061,0.520874,32.1037,2.50488,6.09262,389.063
279760,811562701,44.5824,2.73828,-1.99683,41.6492,1.45508,-1.50317,46.1691,0.646973,29.7162,55.8753
279766,295574638,128.949,-1.41895,-0.393677,20.4181,2.94043,-0.97876,21.8727,-1.12061,11.4344,89.5188
